When,Who,Name,Residence,Went,Happened
A few years ago,a rabbit,Ali,Barcelona,cinema,made a lot of friends
Yesterday,an elephant,Miriam,India,university,ate a burger
Last night,a mouse,Daniel,Germany,seminar,found a secret key
A long time ago,a turtle,Hoouk,Venice,school,solved a mystery
On 20th Jan,a cat,Starwalker,England,laundry,wrote a book
This morning,a lion,Luna,Tokyo,museum,danced in the rain
Last summer,a penguin,Kai,New York,concert,discovered a treasure
Two days ago,a dog,Ella,Madrid,park,met a stranger
Last week,a fox,Zane,Cape Town,market,learned something new
This evening,a bear,Nova,Paris,library,sang a song
On New Year's Eve,a snake,Leo,Cairo,zoo,built a robot
During the holidays,a horse,Sasha,Toronto,cafe,won a prize
In the afternoon,a frog,Jade,Dublin,theater,helped someone
Early this year,an owl,Ravi,Rome,restaurant,lost a hat
At midnight,a goat,Nina,Sydney,aquarium,saw a ghost
On my birthday,a kangaroo,Omar,Amsterdam,garden,painted a picture
In spring,a giraffe,Tara,Dubai,mall,learned to juggle
In autumn,a monkey,Yuna,Seoul,stadium,saved a kitten
On Christmas Eve,a deer,Hugo,Beijing,art gallery,got a surprise
This weekend,a wolf,Bea,Istanbul,beach,baked cookies
